Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
epam / gcp-bank-of-anthos	YAML	10777	540	7282	5	60	6	0	0	2023-10-20
epam / modular-cli-sdk	PY	393	0	67	2	5	2	0	0	2023-09-27
epam / edp-cd-pipeline-operator	GO	5671	6491	731	6	32	4	0	2	2025-01-10
epam / modular-sdk	PY	5822	415	524	2	18	0	0	0	2024-11-26
epam / ember-algo-sample	XML	746	0	7823	2	4	0	0	0	2024-09-16
epam / epmgcip-connect-ed.ui	CSS	215	0	100	1	2	0	0	0	2024-02-15
epam / edp-ddm-kong-admin-tools	LUA	193379	1720	59163	2	7	0	0	0	2024-08-09
epam / epm-content-gen	CSS	1627	0	15169	1	1	0	0	0	2023-10-17
epam / edp-ddm-starter-database	JAVA	155	7	280	2	3	0	0	0	2023-06-22
epam / epmgcip-chaperone.ai	PY	69	22	30	0	1	1	1	0	2024-12-14
epam / edp-ddm-excerpt-service-api	JAVA	2462	1184	526	3	12	0	0	0	2024-08-12
epam / fonda	JAVA	15525	5375	28397	5	10	0	0	0	2022-05-25
epam / epmgcip-zeroharm.be	TS	221	0	6267	1	3	0	0	0	2024-03-17
epam / sitecore-engx-scaffold	JS	1797	183	6486	6	13	0	0	0	2021-08-09
epam / edp-ddm-infrastructure-jenkins-agent	YAML	92	0	658	2	4	0	0	0	2024-08-09
epam / GMP	JAVA	1284	356	163	7	5	0	0	0	2024-12-09
epam / ai-dial-ci	-	0	0	308	1	9	2	1	1	2025-01-09
epam / epam-graphql	CS	28212	48296	3012	3	10	0	0	0	2024-03-14
epam / edp-ddm-registry-postgres	SQL	3516	0	363	2	14	0	0	0	2024-08-09
epam / edp-ddm-platform-gateway	YAML	1017	282	387	2	12	0	0	0	2024-08-09
epam / nfstrace	CPP	43243	1673	4719	12	40	0	0	0	2024-07-15
epam / acuity	JAVA	261129	81361	12876	0	1	0	0	0	2023-06-27
epam / edp-ddm-excerpt-worker	JAVA	1243	546	693	2	11	0	0	0	2024-08-12
epam / TimebaseWS	JAVA	121191	7829	9900	3	11	0	0	0	2024-07-09
epam / edp-library-stages	GROOVY	3449	176	393	6	30	0	0	0	2023-11-01
epam / Android-Secure-Storage	JAVA	814	191	739	6	4	0	0	0	2019-02-03
epam / modular-api	PY	6377	0	932	1	2	0	0	0	2024-12-09
epam / ai-stacks	YAML	1874	51	954	3	6	0	0	0	2023-07-05
epam / checkstyle	XML	39531	0	130682	24	221	0	0	0	2018-01-30
epam / oauth2_proxy	GO	3080	2345	355	12	82	0	0	0	2018-01-23
epam / Cake.Sitecore.Recipe	PS1	4541	338	222	7	15	0	0	0	2021-09-28
epam / edp-ddm-user-settings-service-api	JAVA	2360	1243	489	3	20	0	0	0	2023-08-08
epam / edp-ddm-geoserver-publisher	JAVA	610	418	299	2	3	0	0	0	2023-04-25
epam / ecc-openstack-rulepack	TF	4492	0	182	1	6	0	0	0	2024-07-19
epam / ember-restws-samples	JS	274	0	313	2	2	0	0	0	2024-11-12
epam / edp-ddm-control-plane-console	GO	34221	2210	18321	4	24	0	0	0	2024-08-09
epam / gmp-common	JAVA	675	26	289	7	3	0	0	0	2022-12-02
epam / ai-dial-auth-helper	JAVA	622	117	494	1	9	1	1	0	2024-12-24
epam / kubernetes-kueue	YAML	29272	16714	4436	3	53	0	0	0	2024-12-02
epam / edp-ddm-kafka-api-core-base-image	JAVA	5227	3779	525	2	12	0	0	0	2023-08-28
epam / edp-sonar-operator	GO	7653	5650	766	6	32	0	0	0	2024-10-24
epam / edp-ddm-form-submission-validation	TS	9174	1061	286	2	10	0	0	0	2024-08-09
epam / edp-ddm-smtp-server	YAML	2663	0	185	2	3	0	0	0	2024-08-12
epam / ai-dial-adapter-dial	PY	1105	14	196	1	4	0	0	0	2024-12-06
epam / edp-ddm-feign-annotation-error-decoder	XML	1358	928	745	0	1	0	0	0	2022-11-08
epam / edp-ddm-history-excerptor-chart	YAML	297	0	194	2	3	0	0	0	2023-03-28
epam / edp-ddm-process-history-model	JAVA	243	7	255	2	2	0	0	0	2023-05-11
epam / TimebaseWS-old	JAVA	22607	1613	1877	4	1	0	0	0	2021-05-26
epam / ai-dial-chat	TS	78762	38464	3153	1	30	9	4	11	2025-01-10
epam / edp-ddm-ceph-client	JAVA	387	322	436	2	6	0	0	0	2024-08-09
epam / edp-ddm-logging	YAML	628	0	209	2	8	0	0	0	2024-08-09
epam / eco-commons-avro	JAVA	3606	5665	335	5	10	0	0	0	2024-09-27
epam / ai-dial-analytics-realtime	PY	925	791	345	1	14	2	1	0	2024-12-13
epam / OSCI	PY	6558	817	633	5	25	0	0	0	2024-11-26
epam / java-cme-mdp3-handler	JAVA	7053	50138	1349	9	8	0	0	0	2022-10-25
epam / ai-dial-core	JAVA	15122	14229	1497	1	23	9	7	2	2025-01-09
epam / edp-ddm-starter-security	JAVA	753	231	386	2	8	0	0	0	2023-08-07
epam / solidity-bootcamp	SVELTE	218	237	154	3	1	0	0	0	2022-05-01
epam / edp-ddm-control-plane-jenkins	YAML	1658	0	172	2	6	0	0	0	2023-08-18
epam / sdtm_validator	TS	6789	0	337	1	3	0	0	0	2024-02-02
epam / edp-ddm-registry-tests	GROOVY	6	24	239	2	4	0	0	0	2023-05-12
epam / eco-commons-kafka	JAVA	7139	2975	408	5	14	0	0	0	2024-09-24
epam / covid-resistance-mobile	CS	14549	0	5418	5	2	0	0	0	2020-06-12
epam / AIRUN-LLM-Benchmark	JS	6858	212	298747	0	1	1	1	0	2024-12-12
epam / epmgcip-chaperone.contentful	TSX	792	171	250	1	3	1	1	1	2025-01-08
epam / edp-cluster-add-ons	YAML	18883	0	2581	2	7	3	1	1	2025-01-03
epam / azurecnp	PSM1	1419	0	383	1	4	0	0	0	2023-10-12
epam / edp-ddm-redash	PY	73695	20157	9273	2	4	0	0	0	2023-05-25
epam / dail-quant	PY	12007	79	1601	0	1	0	0	0	2024-01-30
epam / ai-dial	JS	913	237	1034	1	19	1	0	0	2024-12-20
epam / clocks	TSX	4945	13	243	3	27	0	0	0	2023-02-28
epam / ThreadAffinity	JAVA	452	151	243	4	3	0	0	0	2021-05-17
epam / dail-xl	TS	99055	26458	2728	1	2	0	0	0	2024-10-22
epam / edp-ddm-empty-template-registry-regulation	FTL	220	0	173	2	7	0	0	0	2023-05-03
epam / syndicate-rule-engine	PY	40274	4372	35430	1	6	3	1	0	2024-12-16
epam / edp-ddm-kafka-schema-registry	YAML	126	0	169	0	1	0	0	0	2023-03-24
epam / NGB	JS	212833	30404	46804	8	44	1	0	0	2024-12-12
epam / Constellation	JS	7538	0	137	10	2	0	0	0	2015-12-23
