Repository 1	Repository 2	# people
[epam / edp-cd-pipeline-operator]	[epam / edp-nexus-operator]	6
[epam / edp-tekton]	[epam / edp-cluster-add-ons]	6
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-adapter-openai]	6
[epam / edp-tekton]	[epam / edp-cd-pipeline-operator]	6
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-openai]	6
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-adapter-vertexai]	6
[epam / edp-tekton]	[epam / edp-install]	6
[epam / edp-tekton]	[epam / edp-nexus-operator]	4
[epam / ai-dial-core]	[epam / ai-dial-sdk]	4
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-analytics-realtime]	4
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-analytics-realtime]	4
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-interceptors-sdk]	4
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-openai]	4
[epam / ai-dial-sdk]	[epam / ai-dial-interceptors-sdk]	4
[epam / ai-dial-sdk]	[epam / ai-dial-analytics-realtime]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-adapter-openai]	4
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-sdk]	4
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-interceptors-sdk]	4
[epam / edp-install]	[epam / edp-cd-pipeline-operator]	4
[epam / ai-dial-sdk]	[epam / ai-dial-adapter-vertexai]	4
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-interceptors-sdk]	4
[epam / edp-cluster-add-ons]	[epam / edp-install]	4
[epam / AIRUN-Assistants-Benchmark-TestInstructions]	[epam / AIRUN-Assistants-Benchmark-CodeBase]	4
[epam / ai-dial-adapter-openai]	[epam / ai-dial-interceptors-sdk]	4
[epam / ai-dial-app-controller]	[epam / ai-dial-app-builder-python]	4
[epam / edp-cd-pipeline-operator]	[epam / edp-cluster-add-ons]	4
[epam / edp-install]	[epam / edp-headlamp]	2
[epam / edp-install]	[epam / edp-nexus-operator]	2
[epam / ai-dial-adapter-openai]	[epam / ai-dial-app-builder-python]	2
[epam / jsdmx]	[epam / sdmxsource]	2
[epam / ai-dial-core]	[epam / ai-dial-analytics-realtime]	2
[epam / edp-nexus-operator]	[epam / edp-cluster-add-ons]	2
[epam / ai-dial-core]	[epam / ai-dial-chat]	2
[epam / ai-dial-core]	[epam / ai-dial-adapter-openai]	2
[epam / ai-dial-sdk]	[epam / ai-dial-app-builder-python]	2
[epam / edp-tekton]	[epam / edp-headlamp]	2
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-ci]	2
[epam / ai-dial-ci]	[epam / ai-dial-auth-helper]	2
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-ci]	2
[epam / ecc-azure-rulepack]	[epam / ecc-aws-rulepack]	2
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-ci]	2
[epam / ai-dial-adapter-openai]	[epam / ai-dial-ci]	2
[epam / edp-install]	[epam / edp-codebase-operator]	2
[epam / ai-dial-chat]	[epam / ai-dial-adapter-openai]	2
[epam / AIRUN-LLM-Benchmark-Results]	[epam / AIRUN-LLM-Benchmark]	2
[epam / edp-tekton]	[epam / edp-codebase-operator]	2
[epam / edp-codebase-operator]	[epam / edp-nexus-operator]	2
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-core]	2
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-chat]	2
[epam / edp-headlamp]	[epam / edp-nexus-operator]	2
[epam / edp-keycloak-operator]	[epam / edp-nexus-operator]	2
[epam / ai-dial-core]	[epam / ai-dial-adapter-vertexai]	2
[epam / ai-dial-chat]	[epam / ai-dial-adapter-vertexai]	2
[epam / ai-dial-interceptors-sdk]	[epam / ai-dial-app-builder-python]	2
[epam / ai-dial-chat]	[epam / ai-dial-app-builder-python]	2
[epam / edp-keycloak-operator]	[epam / edp-cd-pipeline-operator]	2
[epam / ai-dial-chat]	[epam / ai-dial-analytics-realtime]	2
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-ci]	2
[epam / epmgcip-chaperone.admin]	[epam / epmgcip-chaperone.contentful]	2
[epam / edp-cd-pipeline-operator]	[epam / edp-codebase-operator]	2
[epam / ai-dial-helm]	[epam / ai-dial-chat]	2
[epam / ai-dial-app-builder-python]	[epam / ai-dial-ci]	2
[epam / cloud-pipeline]	[epam / NGB]	2
[epam / ai-dial-adapter-bedrock]	[epam / ai-dial-app-builder-python]	2
[epam / ai-dial-ci]	[epam / ai-dial-app-controller]	2
[epam / ai-dial-chat]	[epam / ai-dial-sdk]	2
[epam / ai-dial-core]	[epam / ai-dial-app-builder-python]	2
[epam / ai-dial-app-builder-python]	[epam / ai-dial-auth-helper]	2
[epam / edp-headlamp]	[epam / edp-cd-pipeline-operator]	2
[epam / ai-dial-app-controller]	[epam / ai-dial-auth-helper]	2
[epam / edp-headlamp]	[epam / edp-codebase-operator]	2
[epam / ai-dial-sdk]	[epam / ai-dial-ci]	2
[epam / ai-dial-adapter-vertexai]	[epam / ai-dial-app-builder-python]	2
[epam / ai-dial-core]	[epam / ai-dial-interceptors-sdk]	2
[epam / ai-dial]	[epam / ai-dial-core]	2
[epam / ai-dial-chat]	[epam / ai-dial-interceptors-sdk]	2
[epam / ai-dial-analytics-realtime]	[epam / ai-dial-app-builder-python]	2
