Contributor	# people
epam / ketcher	15
epam / cloud-pipeline	9
epam / ai-dial-chat	9
epam / ai-dial-core	9
epam / kubernetes-engine-samples	5
epam / edp-tekton	5
epam / edp-install	4
epam / edp-cd-pipeline-operator	4
epam / ai-dial-app-builder-python	4
epam / eco-schema-catalog	4
epam / edp-headlamp	3
epam / edp-nexus-operator	3
epam / edp-cluster-add-ons	3
epam / ai-dial-adapter-bedrock	3
epam / ai-dial-sdk	3
epam / ai-dial-adapter-vertexai	3
epam / ai-dial-adapter-openai	3
epam / syndicate-rule-engine	3
epam / ai-dial-app-controller	3
epam / TimeBaseGrafanaPlugin	3
epam / sap-commerce-intellij-idea-plugin	2
epam / edp-keycloak-operator	2
epam / ai-dial-analytics-realtime	2
epam / ai-dial-interceptors-sdk	2
epam / ai-dial-ci	2
epam / ecc-azure-rulepack	2
epam / ecc-aws-rulepack	2
epam / sdmxsource	2
epam / epmgcip-chaperone.admin	2
epam / AIRUN-Assistants-Benchmark-TestInstructions	2
epam / AIRUN-Assistants-Benchmark-CodeBase	2
epam / Indigo-ELN-v.-2.0	2
epam / NGB	1
epam / UUI	1
epam / edp-codebase-operator	1
epam / Indigo	1
epam / ai-dial	1
epam / ai-dial-helm	1
epam / epam-kafka	1
epam / epmgcip-chaperone.contentful	1
epam / xdlc-ai	1
epam / jsdmx	1
epam / ai-dial-auth-helper	1
epam / ember-trade-connector-sample	1
epam / AIRUN-LLM-Benchmark-Results	1
epam / AIRUN-LLM-Benchmark	1
epam / epmgcip-chaperone.ai	1
