Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
epam / modular-cli-sdk	PY	393	0	67	2	5	2	0	0	2023-09-27
epam / edp-cd-pipeline-operator	GO	5671	6491	731	6	32	4	0	2	2025-01-10
epam / modular-sdk	PY	5822	415	524	2	18	0	0	0	2024-11-26
epam / edp-ddm-kong-admin-tools	LUA	193379	1720	59163	2	7	0	0	0	2024-08-09
epam / epmgcip-chaperone.ai	PY	69	22	30	0	1	1	1	0	2024-12-14
epam / edp-ddm-infrastructure-jenkins-agent	YAML	92	0	658	2	4	0	0	0	2024-08-09
epam / ai-dial-ci	-	0	0	308	1	9	2	1	1	2025-01-09
epam / epam-graphql	CS	28212	48296	3012	3	10	0	0	0	2024-03-14
epam / edp-ddm-registry-postgres	SQL	3516	0	363	2	14	0	0	0	2024-08-09
epam / nfstrace	CPP	43243	1673	4719	12	40	0	0	0	2024-07-15
epam / modular-api	PY	6377	0	932	1	2	0	0	0	2024-12-09
epam / ai-stacks	YAML	1874	51	954	3	6	0	0	0	2023-07-05
epam / oauth2_proxy	GO	3080	2345	355	12	82	0	0	0	2018-01-23
epam / Cake.Sitecore.Recipe	PS1	4541	338	222	7	15	0	0	0	2021-09-28
epam / ecc-openstack-rulepack	TF	4492	0	182	1	6	0	0	0	2024-07-19
epam / edp-sonar-operator	GO	7653	5650	766	6	32	0	0	0	2024-10-24
epam / ai-dial-adapter-dial	PY	1105	14	196	1	4	0	0	0	2024-12-06
epam / edp-ddm-history-excerptor-chart	YAML	297	0	194	2	3	0	0	0	2023-03-28
epam / ai-dial-analytics-realtime	PY	925	791	345	1	14	2	1	0	2024-12-13
epam / OSCI	PY	6558	817	633	5	25	0	0	0	2024-11-26
epam / covid-resistance-mobile	CS	14549	0	5418	5	2	0	0	0	2020-06-12
epam / edp-cluster-add-ons	YAML	18883	0	2581	2	7	3	1	1	2025-01-03
epam / azurecnp	PSM1	1419	0	383	1	4	0	0	0	2023-10-12
epam / dail-quant	PY	12007	79	1601	0	1	0	0	0	2024-01-30
epam / edp-ddm-empty-template-registry-regulation	FTL	220	0	173	2	7	0	0	0	2023-05-03
epam / syndicate-rule-engine	PY	40274	4372	35430	1	6	3	1	0	2024-12-16
epam / edp-ddm-kafka-schema-registry	YAML	126	0	169	0	1	0	0	0	2023-03-24
epam / ai-dial-chat-themes	YAML	10	0	330	1	10	0	0	0	2024-11-13
epam / lifescience	CSS	6562	0	36670	10	34	0	0	0	2024-11-20
epam / OneDrive-L	PY	6082	563	922	8	9	0	0	0	2017-09-26
epam / edp-ddm-gerrit-operator	YAML	710	0	169	2	4	0	0	0	2023-10-03
epam / edp-ddm-pgadmin-chart	YAML	202	0	172	2	4	0	0	0	2024-08-09
epam / hub-google-stacks	YAML	1182	0	804	3	8	0	0	0	2023-01-24
epam / ai-dial-assistant	PY	2926	979	96	1	9	1	0	0	2024-03-08
epam / ecc-gcp-rulepack	TF	21218	1607	473064	2	9	1	0	0	2024-09-03
epam / deps-be-message-flow	PY	2304	992	22	2	3	0	0	0	2024-01-22
epam / edp-ddm-platform-vault	TF	1095	0	662	2	5	0	0	0	2024-08-12
epam / homebrew-tap	RB	121	0	7	3	5	0	0	0	2023-07-17
epam / covid-resistance-back-end	CS	9000	72	1701	0	1	0	0	0	2020-05-20
epam / epam-kafka	CS	6993	5610	2811	1	1	1	1	2	2025-01-10
epam / ecc-aws-rulepack	TF	86543	3778	159709	2	17	2	0	2	2025-01-04
epam / edp-ddm-hashicorp-vault	YAML	2920	37	1653	2	3	0	0	0	2023-08-14
epam / edp-ddm-data-model	XML	112	0	208	2	5	0	0	0	2023-03-09
epam / edp-ddm-jenkins-operator	YAML	1323	0	169	2	16	0	0	0	2024-08-12
epam / hub-toolbox	-	0	0	121	6	13	0	0	0	2023-09-11
epam / edp-ddm-kong	LUA	192316	1720	59166	2	10	0	0	0	2024-08-09
epam / kubernetes-jobset	YAML	12439	2885	600	2	14	0	0	0	2023-06-08
epam / ai-dial-sdk	PY	2702	2189	657	1	13	4	1	3	2025-01-10
epam / edp-jenkins-operator	GO	12649	6519	723	7	36	0	0	0	2023-11-15
epam / libdt	C	4923	1386	261	11	6	0	0	0	2016-03-12
epam / modular-service	PY	6678	102	4756	2	8	0	0	0	2024-06-21
epam / edp-common	GO	164	23	61	3	6	0	0	0	2023-07-10
epam / edp-ddm-registry-regulations-publication-stages	GROOVY	7	0	169	0	0	0	0	0	
epam / ecc-azure-rulepack	TF	35766	0	6370	2	11	2	2	4	2025-01-08
epam / road-ios-framework	M	14825	0	9955	11	24	0	0	0	2018-06-09
epam / edp-keycloak-operator	GO	24037	18709	1352	6	37	2	1	0	2024-12-24
epam / edp-gerrit-operator	GO	9731	6156	782	7	33	0	0	0	2024-10-25
epam / TimeBaseClientCpp	CPP	22784	1668	28	4	7	0	0	0	2023-11-03
epam / opencv	CPP	508056	75813	75231	15	536	0	0	0	2015-08-04
epam / TimeBaseClientPython	I	7122	2100	1015	3	2	0	0	0	2023-11-03
epam / edp-ddm-geo-server	YAML	482	0	170	2	4	0	0	0	2024-08-12
epam / edp-ddm-redash-chart	YAML	9071	16	1816	3	12	0	0	0	2024-08-09
epam / hub-azure-components	TF	176	0	2	2	1	0	0	0	2023-04-25
epam / edp-ddm-strimzi-kafka-operator	YAML	896	0	1341	2	7	0	0	0	2024-08-12
epam / gpac	C	557226	52	12431	20	18	0	0	0	2015-08-10
epam / lib-obj-c-attr	M	4155	191	265	11	9	0	0	0	2017-04-18
epam / r8s	PY	23425	2517	15987	2	5	1	0	0	2024-10-10
epam / azurelz	TF	10665	0	282	1	4	0	0	0	2023-10-16
epam / AIRUN-Evaluation-Framework	YAML	1658	104	9545	0	1	0	0	0	2024-11-25
epam / aws-ci-cd-accelerator	TF	5829	47	375	0	1	0	0	0	2023-07-05
epam / sap-commerce-intellij-idea-plugin	KT	74729	2385	11928	10	55	2	1	7	2025-01-06
epam / ai-dial-adapter-bedrock	PY	6000	3121	189	1	12	4	1	10	2025-01-10
epam / edp-tekton	YAML	50170	9189	1521	2	15	5	1	6	2025-01-10
epam / ai-dial-adapter-openai	PY	2720	2665	148	1	11	3	1	1	2025-01-09
epam / epam.github.io	HTML	14	0	0	8	2	0	0	0	2024-02-21
epam / gcp-go2-auto	YAML	2296	0	914	2	3	0	0	0	2023-08-15
epam / edp-gerrit	-	0	0	552	10	45	0	0	0	2024-05-16
epam / hub-dexctl	GO	440	0	70	2	2	0	0	0	2022-12-12
epam / hubctl	GO	22325	2332	2105	6	13	0	0	0	2024-09-25
epam / hub-google-components	YAML	2853	0	1108	3	8	0	0	0	2022-10-06
epam / edp-ddm-redis-sentinel	YAML	425	0	170	2	6	0	0	0	2024-08-09
epam / hub-kubeflow-components	YAML	2026	0	1009	3	7	0	0	0	2023-08-24
epam / edp-ddm-platform-minio	TF	812	0	421	2	5	0	0	0	2024-08-12
epam / carrier	PY	9591	0	65	0	0	0	0	0	
epam / ember-python-fix-sample	PY	563	0	92	2	3	0	0	0	2024-07-19
epam / modular-cli	PY	1850	0	554	1	3	0	0	0	2024-11-19
epam / edp-ddm-nexus	YAML	1572	0	189	2	6	0	0	0	2024-08-09
epam / ember-fix-mdg-sample-python	PY	176	0	26	0	2	0	0	0	2024-07-19
epam / edp-ddm-liquibase-ext-schema	XSD	848	0	185	2	4	0	0	0	2023-08-11
epam / kubernetes-perf-tests	YAML	45396	5855	13238	8	173	0	0	0	2022-11-16
epam / edp-nexus-operator	YAML	23016	7036	875	7	31	3	0	0	2024-12-25
epam / ai-dial-interceptors-sdk	PY	1232	845	1398	0	4	2	2	0	2024-12-30
epam / AIRUN-Assistants-Benchmark-TestInstructions	-	0	2604	9819	0	2	2	2	0	2024-12-16
epam / ecc-kubernetes-rulepack	TF	9657	0	230	2	11	0	0	0	2024-08-07
epam / pymol-open-source	CPP	286948	3130	12957	25	15	0	0	0	2018-12-05
epam / ai-dial-app-builder-python	PY	229	0	56	0	4	4	4	0	2024-12-20
epam / ember-python-s3-sample	PY	97	0	1	1	2	0	0	0	2024-06-20
epam / fix-antenna-net-core	CS	71837	59046	7735	3	8	0	0	0	2023-10-11
epam / ai-dial-helm	YAML	2009	0	3087	1	6	1	0	0	2024-12-19
epam / ai-dial-adapter-vertexai	PY	3727	1821	103	1	9	4	1	4	2025-01-10
epam / edp-ddm-registry-configuration	YAML	2974	0	4539	3	17	0	0	0	2024-08-09
epam / edp-ddm-wiremock	YAML	217	0	180	2	4	0	0	0	2024-08-12
epam / edp-codebase-operator	GO	14920	17799	980	6	37	1	0	0	2024-12-12
