Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
epam / gcp-bank-of-anthos	YAML	10777	540	7282	5	60	6	0	0	2023-10-20
epam / edp-ddm-starter-database	JAVA	155	7	280	2	3	0	0	0	2023-06-22
epam / edp-ddm-excerpt-service-api	JAVA	2462	1184	526	3	12	0	0	0	2024-08-12
epam / edp-ddm-platform-gateway	YAML	1017	282	387	2	12	0	0	0	2024-08-09
epam / acuity	JAVA	261129	81361	12876	0	1	0	0	0	2023-06-27
epam / edp-ddm-excerpt-worker	JAVA	1243	546	693	2	11	0	0	0	2024-08-12
epam / checkstyle	XML	39531	0	130682	24	221	0	0	0	2018-01-30
epam / edp-ddm-user-settings-service-api	JAVA	2360	1243	489	3	20	0	0	0	2023-08-08
epam / edp-ddm-geoserver-publisher	JAVA	610	418	299	2	3	0	0	0	2023-04-25
epam / edp-ddm-kafka-api-core-base-image	JAVA	5227	3779	525	2	12	0	0	0	2023-08-28
epam / edp-ddm-feign-annotation-error-decoder	XML	1358	928	745	0	1	0	0	0	2022-11-08
epam / edp-ddm-process-history-model	JAVA	243	7	255	2	2	0	0	0	2023-05-11
epam / edp-ddm-ceph-client	JAVA	387	322	436	2	6	0	0	0	2024-08-09
epam / eco-commons-avro	JAVA	3606	5665	335	5	10	0	0	0	2024-09-27
epam / edp-ddm-starter-security	JAVA	753	231	386	2	8	0	0	0	2023-08-07
epam / edp-ddm-registry-tests	GROOVY	6	24	239	2	4	0	0	0	2023-05-12
epam / eco-commons-kafka	JAVA	7139	2975	408	5	14	0	0	0	2024-09-24
epam / edp-ddm-notification-service	JAVA	5189	1402	914	2	16	0	0	0	2024-08-09
epam / Lagerta	JAVA	15453	20426	1945	8	12	0	0	0	2017-06-27
epam / edp-ddm-form-schema-provider	JAVA	994	453	9979	2	14	0	0	0	2024-08-09
epam / edp-ddm-camunda-auth-cli	JAVA	446	150	422	2	8	0	0	0	2023-05-11
epam / edp-ddm-registry-regulations-validator-cli	JAVA	4887	2749	3123	2	13	0	0	0	2024-08-09
epam / openvasp-java-host	JAVA	2514	417	403	5	6	0	0	0	2021-08-27
