Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
epam / epmgcip-connect-ed.ui	CSS	215	0	100	1	2	0	0	0	2024-02-15
epam / epm-content-gen	CSS	1627	0	15169	1	1	0	0	0	2023-10-17
epam / epmgcip-zeroharm.be	TS	221	0	6267	1	3	0	0	0	2024-03-17
epam / sitecore-engx-scaffold	JS	1797	183	6486	6	13	0	0	0	2021-08-09
epam / acuity	JAVA	261129	81361	12876	0	1	0	0	0	2023-06-27
epam / TimebaseWS	JAVA	121191	7829	9900	3	11	0	0	0	2024-07-09
epam / ember-restws-samples	JS	274	0	313	2	2	0	0	0	2024-11-12
epam / edp-ddm-control-plane-console	GO	34221	2210	18321	4	24	0	0	0	2024-08-09
epam / kubernetes-kueue	YAML	29272	16714	4436	3	53	0	0	0	2024-12-02
epam / edp-ddm-form-submission-validation	TS	9174	1061	286	2	10	0	0	0	2024-08-09
epam / TimebaseWS-old	JAVA	22607	1613	1877	4	1	0	0	0	2021-05-26
epam / ai-dial-chat	TS	78762	38464	3153	1	30	9	4	11	2025-01-10
epam / solidity-bootcamp	SVELTE	218	237	154	3	1	0	0	0	2022-05-01
epam / sdtm_validator	TS	6789	0	337	1	3	0	0	0	2024-02-02
epam / AIRUN-LLM-Benchmark	JS	6858	212	298747	0	1	1	1	0	2024-12-12
epam / epmgcip-chaperone.contentful	TSX	792	171	250	1	3	1	1	1	2025-01-08
epam / edp-ddm-redash	PY	73695	20157	9273	2	4	0	0	0	2023-05-25
epam / ai-dial	JS	913	237	1034	1	19	1	0	0	2024-12-20
epam / clocks	TSX	4945	13	243	3	27	0	0	0	2023-02-28
epam / dail-xl	TS	99055	26458	2728	1	2	0	0	0	2024-10-22
epam / NGB	JS	212833	30404	46804	8	44	1	0	0	2024-12-12
epam / Constellation	JS	7538	0	137	10	2	0	0	0	2015-12-23
epam / cloud-pipeline	JS	527727	118686	65128	6	37	9	0	4	2025-01-10
epam / edp-ddm-architecture	YAML	598	0	273	2	35	0	0	0	2024-11-20
epam / ado-delivery-gantt	TSX	3285	0	227	2	7	0	0	0	2024-08-27
epam / epmgcip-chaperone.admin	TSX	2356	709	2152	1	5	2	2	5	2025-01-08
epam / aws-syndicate	PY	30801	2321	10526	6	38	0	0	0	2024-12-05
epam / model_garden	TSX	5270	1823	1161	5	17	0	0	0	2021-11-29
epam / badgerdoc	PY	67332	41368	13305	2	47	0	0	0	2024-10-18
epam / miew	JS	30976	6625	7168	7	27	0	0	0	2024-10-28
epam / quanthub-portal	PHP	8658	0	522	2	12	0	0	0	2024-11-13
epam / wdl-workspace	JS	9833	35	690	0	1	0	0	0	2019-06-21
epam / headless-commerce-salesforce-accelerator	XML	6118	6626	433	5	3	0	0	0	2020-07-13
epam / Sitecore-Reference-Storefront-on-Habitat	CSS	69663	14146	33301	0	0	0	0	0	
epam / epmgcip-zeroharm.fe	TSX	5220	0	1496	2	12	1	0	0	2024-02-28
epam / Indigo	CPP	259231	127659	78141	14	94	1	0	0	2024-12-30
epam / AIRUN-LLM-Benchmark-Results	TSX	24203	0	1057905	0	1	1	1	0	2024-12-11
epam / UUI	TSX	84864	58308	43727	4	77	1	0	2	2025-01-09
epam / hub-state	JS	866	0	22067	3	4	0	0	0	2023-09-01
epam / kubernetes-engine-samples	YAML	52064	3249	25823	9	121	6	4	0	2024-12-30
epam / firecloud-ui	CLJS	13801	3939	9619	10	42	0	0	0	2017-10-20
epam / edp-headlamp	TSX	55971	16310	1439	3	19	3	1	6	2025-01-10
epam / epmgcip-gabt.back-office-app	JS	130	0	82	0	1	0	0	0	2024-06-07
epam / deps-fe-usePolling	TS	275	252	242	2	4	0	0	0	2023-06-26
epam / epmgcip-connect-ed.admin	JS	262	0	1233	1	2	0	0	0	2024-02-22
epam / Indigo-ELN-v.-2.0	JS	62761	1958	13186	6	9	2	2	3	2025-01-08
epam / ketcher	TS	102593	138396	23708	14	196	16	12	5	2025-01-09
epam / AIRUN-Assistants-Benchmark-CodeBase	JAVA	3079	944	3432	0	2	2	2	0	2024-12-18
epam / epmgcip-gabt.user-app	TSX	70	0	11436	0	1	0	0	0	2024-05-06
epam / hub-extensions	JS	142	469	7133	5	21	0	0	0	2024-01-11
epam / TimeBaseGrafanaPlugin	TSX	4124	45	2900	4	12	3	3	0	2024-12-24
epam / JDI	JS	95989	39102	18496	9	61	0	0	0	2019-06-11
epam / agr-lib	TS	6083	560	4312	3	3	0	0	0	2022-10-19
epam / deps-fe-labeling-tool	JSX	17658	17072	1685	1	10	1	0	0	2024-08-02
epam / xdlc-ai	JS	381	0	398	0	1	1	1	0	2024-12-11
epam / mriviewer	JS	28866	623	378	7	53	1	0	0	2024-11-27
epam / hub-stacks-disposer	GO	234	0	9492	3	2	0	0	0	2022-10-12
epam / epmgcip-uva.mono	TSX	977	0	341	1	5	0	0	0	2024-02-16
epam / indigo-node	JS	1785	1393	247	9	4	0	0	0	2019-10-29
epam / xframework	JS	12656	2986	1073	12	9	0	0	0	2014-10-07
epam / pipeline-builder	JS	10945	7336	341	8	11	0	0	0	2019-04-23
epam / eco-schema-catalog	JAVA	23586	8997	2174	5	15	4	1	0	2024-12-25
