Repository	Main Lanuguage	LOC (main)	LOC (test)	LOC (other)	Age (years)	Contributors	Recent Contributors	Rookies	Commits this year	Latest commit
spotify / s3mper	JAVA	2781	1163	308	11	11	7	0	0	2016-06-10
spotify / java-locales	JAVA	1045	1511	883	0	1	1	1	0	2024-12-19
spotify / should-up	JS	225	36	137	8	5	0	0	0	2022-03-03
spotify / DataflowJavaSDK	JAVA	51322	46379	6345	10	88	0	0	0	2015-11-10
spotify / lighthouse-audit-service	TS	876	1507	268	5	8	0	0	0	2022-04-08
spotify / vispana	JS	2951	450	7646	3	12	1	1	0	2024-12-09
spotify / tfx	PY	43256	46357	70623	6	179	0	0	0	2023-03-15
spotify / heroic-client-java	KT	621	273	239	5	7	0	0	0	2022-08-29
spotify / Vandelay	JAVA	1993	659	1079	3	4	0	0	0	2023-05-26
spotify / backup-utils	-	0	955	474	11	45	0	0	0	2016-06-29
spotify / confidence-sdk-android	KT	3195	2953	494	2	7	2	0	0	2024-12-03
spotify / diffuser	SWIFT	831	1708	420	4	8	0	0	0	2023-10-04
spotify / cstar	PY	1843	979	8585	6	26	0	0	0	2022-11-21
spotify / basic-pitch-ts	TS	720	582	307	3	5	0	0	0	2023-01-10
spotify / simple-bigtable	JAVA	1435	1416	586	9	8	0	0	0	2022-09-21
spotify / confidence-sdk-java	JAVA	2608	2861	785	1	9	2	1	0	2024-12-04
spotify / ulogger	PY	294	416	184	7	3	0	0	0	2023-12-04
spotify / confidence-sdk-rust	RS	2431	381	199	1	4	0	0	0	2024-07-08
spotify / google-http-java-client	JAVA	13429	7396	2994	14	12	0	0	0	2015-03-30
spotify / confidence-sdk-go	GO	952	1115	322	1	9	2	0	0	2024-12-12
spotify / folsom	JAVA	7143	6441	1027	10	40	0	0	0	2024-02-28
spotify / confidence	PY	5197	8170	463	4	17	2	2	0	2024-11-26
spotify / confidence-sdk-flutter	DART	920	47	746	1	3	1	1	2	2025-01-13
spotify / missinglink	JAVA	1884	2189	1430	10	23	0	0	0	2024-10-14
spotify / cookiecutter-golang	GO	491	59	266	8	15	0	0	0	2021-01-21
spotify / ratatool	SCALA	5708	3004	885	9	54	4	1	2	2025-01-03
spotify / pedalboard	H	20471	4179	1078	4	35	1	0	0	2024-11-26
spotify / dockerfile-mode	EL	248	0	25	11	48	0	0	0	2024-09-02
spotify / homebrew-public	RB	214	0	178	10	46	0	0	0	2024-09-19
spotify / flink	JAVA	661539	771157	38200	14	1095	4	0	0	2020-08-17
spotify / completable-futures	JAVA	527	1325	330	9	25	0	0	0	2023-12-12
spotify / XCRemoteCache	SWIFT	9786	8898	872	3	28	0	0	0	2024-07-10
spotify / big-data-rosetta-code	SCALA	1289	237	20	9	14	0	0	0	2023-11-09
spotify / perf-map-agent	C	232	0	94	12	6	0	0	0	2015-09-01
spotify / confidence-sdk-js	TS	2943	1776	3370	1	8	2	2	1	2025-01-10
spotify / luigi	PY	19999	21772	3260	13	659	8	3	2	2025-01-15
spotify / ios-auth	SWIFT	195	0	5769	1	6	0	0	0	2024-09-13
spotify / voyager	H	6895	1783	725	2	8	2	2	0	2024-12-19
spotify / proto-registry	TSX	2046	33	214	6	4	0	0	0	2023-01-10
spotify / container-agent	PY	494	267	218	11	7	0	0	0	2014-06-26
spotify / spotify-web-api-ts-sdk	TS	1975	2857	13603	2	24	0	0	0	2024-02-21
spotify / spotify-web-playback-sdk-example	CSS	325	5	103	0	1	0	0	0	2022-10-06
