Contributor	# people
spotify / luigi	17
spotify / scio	10
spotify / basic-pitch	7
spotify / elitzur	5
spotify / ratatool	5
spotify / voyager	5
spotify / confidence-sdk-python	5
spotify / ruler	5
spotify / magnolify	4
spotify / pedalboard	4
spotify / dbeam	4
spotify / chartify	4
spotify / confidence	4
spotify / github-java-client	3
spotify / confidence-sdk-js	3
spotify / confidence-sdk-go	3
spotify / SPTDataLoader	3
spotify / mobius	3
spotify / soundcheck-demo-environment	3
spotify / ios-sdk	3
spotify / gcs-tools	2
spotify / scio-idea-plugin	2
spotify / scio.g8	2
spotify / annoy	2
spotify / flink-on-k8s-operator	2
spotify / confidence-sdk-java	2
spotify / confidence-sdk-android	2
spotify / sparkey-python	2
spotify / confidence-sdk-swift	2
spotify / missinglink	2
spotify / fmt-maven-plugin	2
spotify / vispana	2
spotify / ios-auth	2
spotify / spotify-json	2
spotify / spotify.github.io	1
spotify / realbook	1
spotify / futuristic-feline	1
spotify / confidence-sdk-flutter	1
spotify / Mobius.swift	1
spotify / semantic-metrics	1
spotify / homebrew-public	1
spotify / conversion-api-tag-template	1
spotify / dockerfile-mode	1
spotify / java-locales	1
